1.0	2.0	0.0035	0.0411	0.6987	0.0
1.0	39.0	0.001	0.025	0.75	0.0
2.0	3.0	0.0013	0.0151	0.2572	0.0
2.0	25.0	0.007	0.0086	0.146	0.0
2.0	30.0	0.0	0.0181	0.0	1.025
3.0	4.0	0.0013	0.0213	0.2214	0.0
3.0	18.0	0.0011	0.0133	0.2138	0.0
4.0	5.0	0.0008	0.0128	0.1342	0.0
4.0	14.0	0.0008	0.0129	0.1382	0.0
5.0	8.0	0.0008	0.0112	0.1476	0.0
6.0	5.0	0.0002	0.0026	0.0434	0.0
6.0	7.0	0.0006	0.0092	0.113	0.0
6.0	11.0	0.0007	0.0082	0.1389	0.0
7.0	8.0	0.0004	0.0046	0.078	0.0
8.0	9.0	0.0023	0.0363	0.3804	0.0
9.0	39.0	0.001	0.025	1.2	0.0
10.0	11.0	0.0004	0.0043	0.0729	0.0
10.0	13.0	0.0004	0.0043	0.0729	0.0
10.0	32.0	0.0	0.02	0.0	1.07
12.0	11.0	0.0016	0.0435	0.0	1.006
12.0	13.0	0.0016	0.0435	0.0	1.006
13.0	14.0	0.0009	0.0101	0.1723	0.0
14.0	15.0	0.0018	0.0217	0.366	0.0
15.0	16.0	0.0009	0.0094	0.171	0.0
16.0	17.0	0.0007	0.0089	0.1342	0.0
16.0	19.0	0.0016	0.0195	0.304	0.0
16.0	21.0	0.0008	0.0135	0.2548	0.0
16.0	24.0	0.0003	0.0059	0.068	0.0
17.0	18.0	0.0007	0.0082	0.1319	0.0
17.0	27.0	0.0013	0.0173	0.3216	0.0
19.0	33.0	0.0007	0.0142	0.0	1.07
19.0	20.0	0.0007	0.0138	0.0	1.06
20.0	34.0	0.0009	0.018	0.0	1.009
21.0	22.0	0.0008	0.014	0.2565	0.0
22.0	23.0	0.0006	0.0096	0.1846	0.0
22.0	35.0	0.0	0.0143	0.0	1.025
23.0	24.0	0.0022	0.035	0.361	0.0
23.0	36.0	0.0005	0.0272	0.0	1.0
25.0	26.0	0.0032	0.0323	0.513	0.0
25.0	37.0	0.0006	0.0232	0.0	1.025
26.0	27.0	0.0014	0.0147	0.2396	0.0
26.0	28.0	0.0043	0.0474	0.7802	0.0
26.0	29.0	0.0057	0.0625	1.029	0.0
28.0	29.0	0.0014	0.0151	0.249	0.0
29.0	38.0	0.0008	0.0156	0.0	1.025
6.0	31.0	0.0	0.025	0.0	1.07
