1.0	2.0	0.01938	0.05917	0.0528	0.0
1.0	5.0	0.05403	0.22304	0.0492	0.0
2.0	3.0	0.04699	0.19797	0.0438	0.0
2.0	4.0	0.05811	0.17632	0.034	0.0
2.0	5.0	0.05695	0.17388	0.0346	0.0
3.0	4.0	0.06701	0.17103	0.0128	0.0
4.0	5.0	0.01335	0.04211	0.0	0.0
4.0	7.0	0.0	0.20912	0.0	0.978
4.0	9.0	0.0	0.55618	0.0	0.969
5.0	6.0	0.0	0.25202	0.0	0.932
6.0	11.0	0.09498	0.1989	0.0	0.0
6.0	12.0	0.12291	0.25581	0.0	0.0
6.0	13.0	0.06615	0.13027	0.0	0.0
7.0	8.0	0.0	0.17615	0.0	0.0
7.0	9.0	0.0	0.11001	0.0	0.0
9.0	10.0	0.03181	0.0845	0.0	0.0
9.0	14.0	0.12711	0.27038	0.0	0.0
10.0	11.0	0.08205	0.19207	0.0	0.0
12.0	13.0	0.22092	0.19988	0.0	0.0
13.0	14.0	0.17093	0.34802	0.0	0.0
