1.0	12.9
2.0	11.3
3.0	10.6
4.0	11.2
5.0	10.9
6.0	7.5
7.0	7.7
8.0	11.7
9.0	12.9
10.0	14.3
11.0	10.9
12.0	13.7
13.0	17.1
14.0	14.0
15.0	15.3
16.0	8.5
17.0	5.7
18.0	5.5
19.0	7.6
20.0	8.6
21.0	7.3
22.0	7.6
23.0	12.7
24.0	11.0
25.0	12.7
26.0	12.9
27.0	13.0
28.0	10.9
29.0	10.4
30.0	10.2
31.0	8.0
32.0	10.9
33.0	13.6
34.0	10.5
35.0	9.2
36.0	12.4
37.0	12.7
38.0	13.3
39.0	10.1
40.0	7.8
41.0	4.8
42.0	3.0
43.0	2.5
44.0	6.3
45.0	9.7
46.0	11.6
47.0	8.6
48.0	12.4
49.0	10.5
50.0	13.3
51.0	10.4
52.0	8.1
53.0	3.7
54.0	10.7
55.0	5.1
56.0	10.4
57.0	10.9
58.0	11.7
59.0	11.4
60.0	13.7
61.0	14.1
62.0	14.0
63.0	12.5
64.0	6.3
65.0	9.6
66.0	11.7
67.0	5.0
68.0	10.8
69.0	12.7
70.0	10.8
71.0	11.8
72.0	12.6
73.0	15.7
74.0	12.6
75.0	14.8
76.0	7.8
77.0	7.1
78.0	11.2
79.0	8.1
80.0	6.4
81.0	5.2
82.0	12.0
83.0	10.2
84.0	12.7
85.0	10.2
86.0	14.7
87.0	12.2
88.0	7.1
89.0	5.7
90.0	6.7
91.0	3.9
92.0	8.5
93.0	8.3
94.0	10.8
95.0	16.7
96.0	12.6
97.0	12.5
98.0	12.5
99.0	9.8
100.0	7.2
101.0	4.1
102.0	10.6
103.0	10.1
104.0	10.1
105.0	11.9
106.0	13.6
107.0	16.3
108.0	17.6
109.0	15.5
110.0	16.0
111.0	15.2
112.0	11.2
113.0	14.3
114.0	14.5
115.0	8.5
116.0	12.0
117.0	12.7
118.0	11.3
119.0	14.5
120.0	15.1
121.0	10.4
122.0	11.5
123.0	13.4
124.0	7.5
125.0	0.6
126.0	0.3
127.0	5.5
128.0	5.0
129.0	4.6
130.0	8.2
131.0	9.9
132.0	9.2
133.0	12.5
134.0	10.9
135.0	9.9
136.0	8.9
137.0	7.6
138.0	9.5
139.0	8.4
140.0	10.7
141.0	13.6
142.0	13.7
143.0	13.7
144.0	16.5
145.0	16.8
146.0	17.1
147.0	15.4
148.0	9.5
149.0	6.1
150.0	10.1
151.0	9.3
152.0	5.3
153.0	11.2
154.0	16.6
155.0	15.6
156.0	12.0
157.0	11.5
158.0	8.6
159.0	13.8
160.0	8.7
161.0	8.6
162.0	8.6
163.0	8.7
164.0	12.8
165.0	13.2
166.0	14.0
167.0	13.4
168.0	14.8
